name,brand,barcode,category,image_url,ingredients
Poudre lissante éclat incolore,Sephora,3378872085713,"Maquillage, Maquillage pour le teint, Poudres fixantes, Poudres libres",https://images.openbeautyfacts.org/images/products/337/887/208/5713/front_fr.6.400.jpg,
Blush,Sephora,3378872086444,fr:Cosmetique,,
Mini palette naturel & pop,Sephora,3378872088813,Maquillage,https://images.openbeautyfacts.org/images/products/337/887/208/8813/front_fr.5.400.jpg,
Gelée micellaire,Sephora,3378872089681,,https://images.openbeautyfacts.org/images/products/337/887/208/9681/front_fr.3.400.jpg,
Ombre à paupières délipsable Sir yes sir! n°275,SEPHORA,3378872092070,"Maquillage, Maquillage pour les yeux",https://images.openbeautyfacts.org/images/products/337/887/209/2070/front_fr.13.400.jpg,"Cl 77891  (Titanium Dioxide) , Mica , Magnesium Myristate , Talc , lsostearyl Neopentanoate , Lauroyl Lysine , Dipentaerythrityl Pentaisononanoate , Phenyl Trimethicone , Cl 77499 (Iron Oxides) , Cl 77491 (Iron Oxides) , Cl 77492 (Iron Oxides) , Cl 77510 (Ferric Ferrocyanide) , Ethylhexylglycerin , Maltodextrin , Sorbic Acid , BHT , Tin Oxide , Camellia Sinensis Leaf Extract , Cl 77742 (Manganese Violet) , Cl 19140 (Yellow 5) , 01 77007 (Ultramarines) , Cl L42090 (Blue 1 Lake)"
Masques tissus,Sephora,3378872092803,,https://images.openbeautyfacts.org/images/products/337/887/209/2803/front_fr.3.400.jpg,
Anticerne,Sephora,3378872095811,,https://images.openbeautyfacts.org/images/products/337/887/209/5811/front_fr.3.400.jpg,
masque mains avocat,Sephora,3378872096030,,,
Super démaquillant yeux waterproof,Sephora,3378872096061,,https://images.openbeautyfacts.org/images/products/337/887/209/6061/front_fr.4.400.jpg,
démaquillant yeux,Sephora,3378872096078,"Démaquillant, open beauty facts",,
Super huile démaquillante,Sephora,3378872096337,,https://images.openbeautyfacts.org/images/products/337/887/209/6337/front_fr.3.400.jpg,
Huile nourrissante qui fait tout,Sephora,3378872097716,,https://images.openbeautyfacts.org/images/products/337/887/209/7716/front_fr.3.400.jpg,
